ID	CNT_1	CNT_10	CNT_2	CNT_3	CNT_4	CNT_5	CNT_6	CNT_7	CNT_8	CNT_9	ICM_1	ICM_10	ICM_11	ICM_12	ICM_13	ICM_2	ICM_3	ICM_4	ICM_5	ICM_6	ICM_7	ICM_8	ICM_9
ENSG00000175073	112.5	142.64	93.52	168.15	95.71	120.42	200.79	116.3	145.04	108.08	128.38	126.91	120.95	104.86	105.11	131.26	127.66	46.58	124.91	90.82	89.44	69.84	148.95
ENSG00000175077	1.89	1.97	0.95	0	0.95	0	2.02	2.84	3.84	0.97	1.96	0	0.98	3.81	3.93	0.99	0.98	2.91	1.92	0	3.89	0	0.97
ENSG00000179630	33.09	57.06	29.58	91.96	81.5	101	33.3	75.64	83.56	50.63	113.68	43.6	57.03	41.94	98.23	27.63	60.88	69.88	15.37	68.36	49.58	38.57	74.96
ENSG00000142765	6.62	3.93	0.95	2.63	2.84	6.8	3.03	4.73	7.68	2.92	5.88	0	1.97	17.16	10.81	1.97	6.87	25.23	3.84	4.88	2.92	7.3	1.95
ENSG00000179636	1.89	1.97	0	2.63	1.9	0	0	2.84	0	0.97	0.98	0.97	5.9	3.81	0	1.97	0	0	0.96	0.98	0	6.25	1.95
ENSG00000187867	3.78	0.98	0.95	0	0	0	2.02	0	0	1.95	2.94	13.56	2.95	3.81	4.91	1.97	3.93	7.76	0	0	6.81	2.08	1.95
ENSG00000113643	154.1	174.12	185.13	162.89	165.84	148.58	120.07	114.41	94.13	189.87	154.84	98.82	137.67	196.38	127.7	189.49	116.85	72.79	126.83	142.58	128.33	105.29	186.91
ENSG00000185033	1252.66	336.43	193.72	120.86	108.98	966.26	208.86	349.84	319.85	184.03	75.46	174.38	201.58	171.59	164.05	79.94	497.86	403.73	397.8	245.12	213.88	233.51	110.01
ENSG00000113645	1.89	1.97	1.91	5.25	0	17.48	104.94	4.73	1.92	3.89	6.86	4.84	5.9	12.39	0	5.92	0	1.94	0	7.81	2.92	6.25	0.97
ENSG00000113649	369.65	317.74	237.62	267.99	183.85	603.06	912.14	427.37	394.77	290.17	311.64	309.05	408.08	402.29	341.85	247.71	427.16	281.45	329.58	439.46	416.09	387.79	294.97
ENSG00000113648	345.07	422.02	403.67	270.61	362.01	513.72	580.18	487.88	360.19	409.93	436.1	528	544.77	383.22	368.37	370.09	441.89	602.68	467.94	441.41	414.14	409.69	505.25
ENSG00000084093	201.37	119.03	95.43	200.99	184.79	129.16	210.88	204.23	132.55	132.43	212.66	140.48	195.68	173.5	168.96	219.09	174.79	122.28	114.34	149.42	269.29	168.88	176.21
ENSG00000185038	10.4	0.98	0	0	0.95	0	0	0	0	0.97	0.98	0	1.97	1.91	0	0.99	0.98	4.85	3.84	1.95	0	2.08	3.89
ENSG00000169435	1.89	1.97	1.91	0	0	1.94	2.02	2.84	5.76	0.97	0.98	0.97	1.97	0	0	0.99	0	1.94	0.96	0	0.97	3.13	0.97
ENSG00000140545	1200.66	890.27	1526.88	1069.32	1159.94	1036.18	1279.42	1475.93	1041.18	2399.23	1434.71	1267.19	1586.12	1111.54	3286.86	1309.63	1442.52	1380.05	1749.73	1434.58	882.72	1833.68	1512.84
